date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Mar 16 2017, Chief Engineer,Ankara,Current Employee ,The end of a dream,0,"As an engineer, one of the best places to work for if youbare interested in Aerospace.
","Promotions depend on various factors and even there are standard procedures, you can promote to a higher level (or not) depending on your manager's decision.
Advice to Management
Be beave, take initiatives and support your employees on any subject. Soon, you will see that evertyhing will be better.
Helpfu","Be beave, take initiatives and support your employees on any subject. Soon, you will see that evertyhing will be better.
Helpfu",3.0,2.0,3.0,3.0,4.0,3.0,Doesn't Recommend,Positive Outlook,
Fri Dec 30 2016,Anonymous,"Kazan, Ankara",Current Employee ,Procurement Specialist,0,"Good working conditions, good salary, nice colleagues, one of the best four company in Ankara, free lunch, free transportation
","Slow, old technology on office equipments, hierarchy, less meetings, less connection between departments, far away from city center, high security control
Advice to Management
Connection between management level and employees have to be improved. Treats should be shared more fair. People who are smart and have talent must be selected as a executive candidates instead of the one who has more experience.
Helpfu","Connection between management level and employees have to be improved. Treats should be shared more fair. People who are smart and have talent must be selected as a executive candidates instead of the one who has more experience.
Helpfu",4.0,4.0,3.0,3.0,4.0,3.0,Recommends,Neutral Outlook,
Thu Jan 05 2017,Anonymous,,Current Employee ,There is no justice here in TAI,0,"For salary, it can be said good
","Management is full of losers
Helpfu",,3.0,3.0,3.0,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,
Tue Jan 24 2017, Systems Engineer,Ankara,Former Employee ,"Not productive, creative or competitive.",1,"None. There is nothing good about working for this company. Maybe getting a paycheck even when there aren't any project assigned to your team for a long time.
","No one knows anything. There are hardly ever any projects to work on. Not a great place to gain experience.
Helpful (1",,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Mon Dec 19 2016, Senior Technical Specialist,Ankara,Current Employee ,Aerospace and Defence Industry,0,"World quality working environment, new aircarft and helicopter development projects available.
","I have 25 years of experience in TAI. It's time to shift another company to share my experiences and earn new ones.
Advice to Management
hire multi-role engineers
Helpfu","hire multi-role engineers
Helpfu",5.0,4.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,
Mon Nov 28 2016,N/A,Ankara,Project Leader in Ankara,One of the best companies in Turkey,0,"Challenging work environment. A product portfolio from aerostructure to satellite. Good for the career opportunities.
","Fast growing company. No other cons
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,
Fri Oct 14 2016,N/A,Ankara,Senior Software Systems Engineer in Ankara,Good place to work for aerospace engineers,0,"Salary, flexible hours, trainning options, good place for aerospace engineers
","Lack of Career path, subjective criterias for uprise
Advice to Management
Please establish Objective rules for career opptunities
Helpfu","Please establish Objective rules for career opptunities
Helpfu",4.0,2.0,3.0,4.0,4.0,1.0,Recommends,,
Sun Oct 02 2016,N/A,, ,Line Maintenance Internship,0,"Peaceful environment with nice people
","Maintenance workshops should not be this close to the R&D staff.
Helpfu",,4.0,,,,,,,,
Thu Sep 29 2016,N/A,, ,Aerospace center of turkey,0,"Good campus, Training opportunities. Stable environment, Job security is high. May work with the state of the art of the technology, depending on the Project and Role. Can do MS and PHD while working.
","Slow process for employment. Rigid career plan. Location of the campus is far from city center. Company is manufacturing oriented, design engineering experience is relatively low compared to similar World class competitors.
Advice to Management
Put some flexibility to career plans. Shuttle within the campus would be good, waste of time walking around. Too many working hours.
Helpfu","Put some flexibility to career plans. Shuttle within the campus would be good, waste of time walking around. Too many working hours.
Helpfu",4.0,3.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,
Tue Sep 06 2016,Anonymous,,Current Employee ,good for a start to career,0,"Corporate company with a good system. Not sure if it's a pro or a con but the salary is fixed for each position.
","Very limited career development opportunities. Not very visionary and it is really hard to show yourself. The company does not have a competitive environment.
Advice to Management
You should definitely improve career development opportunities. I know there's been a development recently but it should be further improved.
Helpfu","You should definitely improve career development opportunities. I know there's been a development recently but it should be further improved.
Helpfu",4.0,5.0,4.0,3.0,4.0,4.0,Recommends,Positive Outlook,
Tue Jul 26 2016,N/A,, ,Software Engineer,0,"Working in aviation projects, which is mostly not possible in any other companies in Turkey. So you will be part of indigenous platforms developed.
","Since a big company, things do not progress quickly, so you should be prepared for the culture. So, productivity decreases because of this.
Advice to Management
Please give more chances to bright person. Technical excellence should have more priority than presentation,
Helpfu","Please give more chances to bright person. Technical excellence should have more priority than presentation,
Helpfu",4.0,4.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,
Wed Jul 13 2016, Senior Design Engineer,Ankara,Current Employee ,Design engineering,1,"Chance to learn, good place for creativity. Opportunity for trainings. Working with international aerospace companies. New upcoming projects, new open positions and opportunities
","Bad management. 
Working place very far from city
Long working hours.
Almost no bonuses.
Very difficult to get promotion.
Feeling worthless among more than thousand of engineers.
Helpful (1",,3.0,2.0,3.0,2.0,1.0,1.0,Neutral Outlook,,Disapproves of CEO
Wed Jun 08 2016,N/A,Ankara,Avionics Engineer in Ankara,Defense and Aerospace Company,0,"You can have a chance to work on various product range from GCS to helikopters UAV's to satellites
","production based organization, design part is very new.
Helpfu",,4.0,2.0,3.0,4.0,3.0,3.0,Recommends,,
Mon Jun 06 2016,Anonymous,,Former Employee ,good place to work in,0,"corporate solid work with a safe work and salary. Interesting projects with a lot to learn from. good facilities. a really nice place to work in
","nothing really. It is a nice place to work in. the only thing would be human resource career path is not clear for everyone. It is difficult to see where you will be in 5-10 years.
Helpfu",,4.0,,,,,,,,
Tue Mar 15 2016,N/A,Ankara,Logistics/Supportability Engineer in Ankara,Good for Turkey,1,"Payment, benefits, company environment, sociality
","Working hours, promotion, leaders, distance
Helpful (1",,4.0,4.0,3.0,3.0,4.0,3.0,,,
Thu Dec 17 2015,N/A,Ankara,Design Engineer in Ankara,Design Engineer,1,"Salary, working environment, benefits, campus
","Working hours are too much and holidays aren't long enough.
Advice to Management
increase holidays, decrease working hours.
Helpful (1","increase holidays, decrease working hours.
",4.0,1.0,3.0,3.0,4.0,3.0,Recommends,Neutral Outlook,
Tue Oct 20 2015, Technical Specialist,Ankara,Current Employee ,Perfect company,0,"High salary. Chance of changing department
","45 hours of work weekly
Advice to Management
-
Helpfu","-
Helpfu",5.0,5.0,4.0,5.0,5.0,4.0,Recommends,Neutral Outlook,
Thu Oct 22 2015,N/A,Ankara,Assistant Design Engineer in Ankara,Poor Management with Inefficient Work Environment,1,"Good salary for new graduates, supports academic research, provides private healthcare services for free in addition to SGK, provides free accommodation near the main campus for five years if you are able to fulfill certain requirements
","Company is very insufficient at managerial skills. Most of the managers have no idea about managing a team or a group. Mangers lack basic project management skills and cannot take any action when a problem occurs. Company is privately held but the main share holder is the state so the state and the politics are quite effective on the company. Performance evaluation does not exist and there is no feedback for the employees. The main campus is 60 km away from city center and completely isolated from social life. It usually takes 2 hours on the road to reach the work place. Plus, you have to work 10 hours per day and that makes you have to spend 12 hours per day for the company for a salary that is almost minimum wage in Europe. Work environment is also very unproductive. People spend hours for chatting and walking around, which makes the company very insufficient at the end.
Advice to Management
An efficient, productive and calm work environment should be provided. Work hours per week should not be more than 35 hours. All technical and non-technical managers should be educated in managerial skills, and tested before promoting to managerial positions. MBA or project management masters degree should be required for the managers.
Helpful (1","An efficient, productive and calm work environment should be provided. Work hours per week should not be more than 35 hours. All technical and non-technical managers should be educated in managerial skills, and tested before promoting to managerial positions. MBA or project management masters degree should be required for the managers.
",2.0,1.0,1.0,2.0,2.0,1.0,Doesn't Recommend,Negative Outlook,
Fri Jul 10 2015, Assistant Design Engineer,Ankara,Current Employee ,Design Engineer,0,"Good salary, extra payments, exciting job, supports master's or doctorate studies
","Experience may change very sharply from one group to another
Helpfu",,4.0,3.0,4.0,2.0,4.0,3.0,Recommends,Positive Outlook,
Wed Feb 25 2015, Senior Software Engineer,Ankara,Current Employee ,Poor RD management but production is fairly mature.,1,"Well institutinalized, fair benefits and salary, flexible work hours for RD engineers, campus, competitive advantage for national projects, guaranteed offset production income based over gov., mil. acquisations
","New product desing approach and processes are immature. Market positioning is vague. Too tight delivery schedule and over work. Not much promising for experienced engineers.
Advice to Management
Loosen effects of in firm politics when making technical desicions. Listen technical personel, consider business rules and market needs over tecnical base but think free of in company politics.
Helpful (1","Loosen effects of in firm politics when making technical desicions. Listen technical personel, consider business rules and market needs over tecnical base but think free of in company politics.
",3.0,2.0,3.0,3.0,4.0,2.0,Recommends,Neutral Outlook,No opinion of CEO
Sun Jan 25 2015,N/A,, ,Lead structural engineer,1,"Lots of projects
Good salary
Free lunch
Bonus at the end of the year
Training oportunity can be provided
paid Overtime
","Forty five haour of work in each week
Overtime expectations
No work life balance
Organisational problens
Management changes each year
Helpful (1",,3.0,2.0,4.0,3.0,3.0,3.0,Recommends,Neutral Outlook,
Sat Aug 23 2014, Stress Engineer,Ankara,Current Employee ,Poor project management,1,"Relaxed working environment, salary is not bad
","management is unsuccessful, promotions depend only on years of employment, no career plan for employees, working on weekends is considered normal!!
Advice to Management
improve project management, each employee should have a career plan in order to keep the motivation high.
Helpful (1","improve project management, each employee should have a career plan in order to keep the motivation high.
",2.0,1.0,3.0,1.0,3.0,1.0,Doesn't Recommend,Neutral Outlook,
Tue Aug 05 2014,N/A,, ,good for money,0,"Salary is better than other companies
","not good for self improvement
Helpfu",,4.0,,,,,,,,
Fri Aug 15 2014, Manufacturing Engineer,Ankara,Former Employee ,"Bad place for rookies, especially for ones who works for production. It is not good place who wants to improve himself",0,"-It is only aerospace company in Turkey ( I don't know whether this a pro)
-Good benefits for beginners
","-No self-improvement
-No justice at management side
-If you want to make career, it doesn't matter how you work hard. It does matter who you know in the company.
-Most of managers are incompetence at both technical and management level. Most of them don't know anything about their profession. They can't give anything for their employees.
Advice to Management
I have no advice because they don't listen anybody but their huge ego
Helpfu","I have no advice because they don't listen anybody but their huge ego
Helpfu",1.0,2.0,1.0,3.0,3.0,,Doesn't Recommend,Neutral Outlook,
Mon Sep 02 2013, Senior Systems Engineer,Ankara,Current Employee ,"Mediocre management, surprising results",0,"The salary competitive compared to other defense industry companies
They pay overtime
","Management is dull and ignorant.
Because they pay overtime, they think it's their god given right to keep you at work for several hours. 
They have no software processes. software projects are completed like high school homework assignments.
Advice to Management
They should learn modern management systems.
Helpfu","They should learn modern management systems.
Helpfu",3.0,2.0,3.0,3.0,4.0,2.0,Recommends,Neutral Outlook,
Thu May 16 2013, Design Engineer,Ankara,Former Employee ,"aggressive managers,",3,"good enough salary
prestigious projects
","30 minutes by car
gossips, gossips,gossips
worst human resources ever
Helpful (3",,2.0,3.0,4.0,1.0,2.0,1.0,Doesn't Recommend,Positive Outlook,
Mon May 21 2012,N/A,Ankara,Design Engineer in Ankara,-,2,"Aerospace, benefits etc. etc. etc.
","Organizational injustice, bad management, etc. etc.
Advice to Management
-
Helpful (2","-
",3.0,2.5,2.0,3.0,2.0,,Doesn't Recommend,,
Fri Feb 17 2012,N/A,,Software Design Engineer ,Very good experience overall. Chance to work with embedded software for airplanes,0,"- Good Salary
- Nice work environment
- Friendly people
","- Far away from downtown
Advice to Management
Check the employers are giving their best or not
Helpfu","Check the employers are giving their best or not
Helpfu",4.0,4.0,4.0,4.0,4.0,,Recommends,,
Fri Sep 02 2011,N/A,Ankara, in Ankara,Good company,0,"Very young and active people with Innovative and intuitive environment
","Management should improve but this is a young company.
Helpfu",,4.0,3.0,4.0,3.0,3.0,,Recommends,,
